PartId	Sex	Age	Country	Adieu
811	F	62	CH	0
812	M	21	CH	1
813	F	22	CH	0
814	M	23	CH	3
815	F	24	CH	2
816	F	24	CH	9
817	F	26	CH	5
818	F	27	CH	3
819	M	28	CH	2
820	F	37	CH	0
821	F	38	CH	0
822	F	40	CH	2
823	F	44	CH	0
824	F	44	CH	0
825	M	45	CH	8
826	F	46	CH	1
827	F	48	CH	5
828	M	48	CH	10
829	F	49	CH	0
830	F	55	CH	1
831	F	63	CH	0
832	F	65	CH	5
833	F	76	CH	2
834	F	77	CH	4
835	M	27	CH	8
836	M	32	CH	3
837	F	32	CH	3
838	F	42	CH	5
839	F	43	CH	
840	F	68	CH	5
841	F	81	CH	
842	F	82	CH	
843	F	17	CH	0
844	F	31	CH	
845	M	33	CH	0
846	M	45	CH	0
847	F	74	CH	0
848	M	21	CH	7
849	F	28	CH	5
850	M	29	CH	3
851	M	31	CH	4
852	F	48	CH	0
853	M	55	CH	0
854	M	56	CH	0
855	F	63	CH	1
856	M	22	CH	3
857	M	24	CH	1
858	F	32	CH	0
859	F	35	CH	2
860	M	38	CH	0
861	F	41	CH	8
862	F	70	CH	6
863	M	28	FR	0
864	F	33	FR	5
865	F	36	FR	0
866	M	45	BE	0
867	M	45	CH	8
868	F	48	FR	0
869	F	50	FR	0
870	F	59	FR	0
871	M	24	CH	1
872	M	27	CH	
873	F	32	CH	9
874	F	36	CH	0
875	F	41	CH	0
876	F	43	CH	
877	F	47	CH	2
878	F	48	CH	1
879	F	48	CH	3
880	M	49	CH	10
881	F	53	CH	0
882	M	54	CH	4
883	M	59	CH	5
884	F	23	CH	5
885	F	27	CH	1
886	M	33	CH	8
887	F	37	CH	0
888	M	38	CH	1
889	F	39	CH	0
890	F	42	CH	0
891	M	43	CH	5
892	M	44	CH	0
893	M	45	CH	10
894	F	48	CH	0
895	F	49	CH	0
896	F	49	CH	0
897	F	52	CH	0
898	M	52	CH	1
899	M	53	CH	10
900	F	54	CH	2
901	F	56	CH	0
902	F	57	CH	5
903	M	60	CH	0
904	M	64	CH	0
905	F	72	CH	
906	F	21	CH	6
907	M	24	CH	5
908	M	25	CH	5
909	M	25	CH	4
910	F	37	CH	0
911	F	76	CH	0
912	F	25	CH	7
913	F	33	CH	0
914	F	33	CH	1
915	M	33	CH	5
916	F	35	CH	0
917	M	40	CH	0
918	F	42	CH	0
919	M	48	CH	8
920	F	49	CH	2
921	F	49	CH	0
922	F	53	CH	10
923	M	63	CH	3
924	M	20	CH	9
925	M	22	CH	1
926	F	29	CH	3
927	F	31	CH	2
928	M	42	CH	10
929	F	53	CH	1
930	M	62	CH	8
931	F	82	CH	0
932	F	28	FR	0
933	F	57	CH	0
934	F	27	CH	2
935	F	31	CH	9
936	M	60	CH	0
937	F	14	CH	0
938	F	28	CH	7
939	F	16	CH	0
940	F	21	CH	1
941	F	28	CH	1
942	M	45	CH	5
943	M	74	CH	6
944	F	20	CH	0
945	M	22	CH	5
946	F	22	CH	0
947	M	23	CH	5
948	F	25	CH	3
949	F	25	CH	3
950	M	53	CH	0
951	F	19	CH	3
952	F	21	CH	6
953	M	21	CH	4
954	F	22	CH	2
955	F	24	CH	2
956	F	26	CH	1
957	M	28	CH	0
958	M	30	CH	3
959	F	38	CH	1
960	F	53	CH	0
961	M	12	CH	0
962	M	17	CH	6
963	M	22	CH	0
964	M	24	CH	5
965	M	24	CH	0
966	F	27	CH	0
967	F	31	CH	1
968	M	31	CH	1
969	F	31	CH	
970	F	31	CH	2
971	M	33	CH	0
972	F	34	CH	
973	F	37	CH	5
974	F	41	CH	2
975	M	57	CH	3
976	F	69	CH	8
977	F	17	CH	0
